model,gameweek,target_gameweek,position,kendall_tau,ndcg,player_count,p_value
GBReg,5,6,GK,0.5951437661907493,0.8311475942061266,70,3.8903820044731113e-10
GBReg,5,6,DEF,0.44004079749041225,0.7499063599579259,215,7.180275611008954e-17
GBReg,5,6,MID,0.6224866171894808,0.8878682858006863,303,1.3875492307067501e-46
GBReg,5,6,FWD,0.6235677953207073,0.6752211051184878,73,5.240719421032198e-12
GBReg,5,6,ALL,0.5702530434001251,0.884211190312833,661,1.5960121068410684e-82
GBReg,6,7,GK,0.5343697042020966,0.7024231024850317,70,1.3992702645650607e-08
GBReg,6,7,DEF,0.5073146750897806,0.7965383856330771,218,1.4554423766863354e-22
GBReg,6,7,MID,0.5976203895632408,0.8531479085349425,303,1.6162858165618873e-43
GBReg,6,7,FWD,0.6064727194078225,0.6778433463935113,73,1.3621893018565753e-11
GBReg,6,7,ALL,0.5742913777201112,0.8399956686800182,664,3.040401559846473e-85
GBReg,7,8,GK,0.520235704034516,0.7891450848779175,70,2.566726882006725e-08
GBReg,7,8,DEF,0.46252887280577504,0.8443936105125135,219,4.042308924064839e-19
GBReg,7,8,MID,0.5773758914088257,0.868619689972074,303,1.6242998995038812e-40
GBReg,7,8,FWD,0.664168450042092,0.7812393391709977,74,8.585538564667127e-14
GBReg,7,8,ALL,0.5518311088930195,0.902808545196598,666,5.039916899051479e-79
GBReg,8,9,GK,0.5566250438007275,0.7777174956203177,70,3.263378034150859e-09
GBReg,8,9,DEF,0.5266183447193458,0.9469780526175726,219,3.3799001891025545e-24
GBReg,8,9,MID,0.558765512058988,0.8241423464450452,304,1.145264826118475e-37
GBReg,8,9,FWD,0.627472911952673,0.7995279908801249,74,9.16849453654277e-13
GBReg,8,9,ALL,0.5618153567124907,0.9517875208570208,667,2.406271229504115e-81
GBReg,9,10,GK,0.570252693132403,0.7994626634448637,72,1.1885450012482898e-09
GBReg,9,10,DEF,0.5314588179267858,0.746482171363714,220,7.615607921659564e-25
GBReg,9,10,MID,0.5720187731121859,0.8774820248390764,304,1.7259782200916694e-39
GBReg,9,10,FWD,0.6572975405356294,0.679160806210816,74,1.4885365594578094e-13
GBReg,9,10,ALL,0.5821185255040173,0.8845386226773317,670,1.3048226236209354e-87
GBReg,10,11,GK,0.5766726796318021,0.8452260312697784,72,5.509314275452411e-10
GBReg,10,11,DEF,0.5136729485984234,0.817361830129219,221,4.593460622256398e-23
GBReg,10,11,MID,0.5762398930228827,0.8390723875318906,307,9.33262009537412e-41
GBReg,10,11,FWD,0.6409632497148632,0.7077522841391997,74,6.965927920776306e-13
GBReg,10,11,ALL,0.5694443156188745,0.8532557621103727,674,1.8641275818962604e-84
GBReg,11,12,GK,0.5666259246242116,0.7345891647339419,72,9.420291966191086e-10
GBReg,11,12,DEF,0.4324029741061112,0.7756743567690196,223,8.306520868050246e-17
GBReg,11,12,MID,0.5130119168789782,0.87311577182454,308,4.846302573624091e-33
GBReg,11,12,FWD,0.6147382064191106,0.6803812428649373,75,3.432142260178845e-12
GBReg,11,12,ALL,0.5171144188780209,0.8820478424522435,678,1.8818952056770206e-70
GBReg,12,13,GK,0.32061912341367677,0.7619504745422884,72,0.0005839072643837033
GBReg,12,13,DEF,0.4465068647105567,0.808088550623938,226,2.1272937929823377e-18
GBReg,12,13,MID,0.6003249340357965,0.8006496896112424,311,1.9134960892496425e-44
GBReg,12,13,FWD,0.6160503812913004,0.6651397739335273,75,3.883726905375885e-12
GBReg,12,13,ALL,0.5327966684374134,0.8570837697060197,684,3.807732695208487e-75
GBReg,13,14,GK,0.5008116100730747,0.746642498186602,72,8.345992383989487e-08
GBReg,13,14,DEF,0.46505052208470343,0.91833896552889,229,6.51641878320828e-20
GBReg,13,14,MID,0.5812915058067706,0.7909059369460717,314,4.081456770812352e-42
GBReg,13,14,FWD,0.5724685740098843,0.696689103185796,75,1.027249447078189e-10
GBReg,13,14,ALL,0.5422339160006805,0.9268116446161899,690,2.590750855757115e-78
GBReg,14,15,GK,0.5855302181031729,0.7771276166728447,65,2.8849631265592294e-09
GBReg,14,15,DEF,0.5096878715484783,0.6862650968488401,210,2.3174156870049834e-21
GBReg,14,15,MID,0.60171405349321,0.8288007075845661,288,2.7071254023075583e-41
GBReg,14,15,FWD,0.6415148438557664,0.7996275934668767,67,6.1979008534907775e-12
GBReg,14,15,ALL,0.5829546472307273,0.8242150263595409,630,7.395797416243673e-82
GBReg,15,16,GK,0.5315344373732154,0.7402588237404544,65,4.928904249629839e-08
GBReg,15,16,DEF,0.44877244841332947,0.8651011438661542,210,3.167607023300966e-17
GBReg,15,16,MID,0.619111679942936,0.7393213275676134,288,9.390943224300843e-44
GBReg,15,16,FWD,0.6388115715845695,0.7766448062035592,67,1.1500689289034806e-11
GBReg,15,16,ALL,0.5580349284897148,0.881927801366173,630,1.0924493040422881e-75
GBReg,16,17,GK,0.5311212180046165,0.766245204732147,72,9.406030185036021e-09
GBReg,16,17,DEF,0.4468664983870796,0.787994782234763,234,4.1095834695351386e-19
GBReg,16,17,MID,0.5942990400971656,0.804229417855805,319,9.068088505967865e-45
GBReg,16,17,FWD,0.6202691608095764,0.6888168736228364,76,3.3867101972016334e-12
GBReg,16,17,ALL,0.5429460454879232,0.858792677726253,701,3.670750639266299e-80
GBReg,17,18,GK,0.5567855644000027,0.8294678303876543,72,1.416680483676043e-09
GBReg,17,18,DEF,0.5463014263069872,0.8921195907023065,234,5.615365648614759e-28
GBReg,17,18,MID,0.6033176670026684,0.9084976615178529,319,6.991090821067062e-46
GBReg,17,18,FWD,0.574531253866276,0.8953343179768003,76,1.10413971973491e-10
GBReg,17,18,ALL,0.5818131107180851,0.919555770031192,701,3.515673596602589e-92
GBReg,18,19,GK,0.5211213302263259,0.6729885715775616,73,1.6895164883908132e-08
GBReg,18,19,DEF,0.5110034928256062,0.7819339967044561,237,6.3787378196564225e-24
GBReg,18,19,MID,0.5861279858310754,0.8140776848202472,319,2.4128617943596286e-43
GBReg,18,19,FWD,0.6147794877200162,0.7715928126873789,76,2.935487193688821e-12
GBReg,18,19,ALL,0.5608740010027797,0.8114269205802184,705,1.0395737723310375e-84
GBReg,19,20,GK,0.5235379949955704,0.7003481620801036,73,1.3351452927913685e-08
GBReg,19,20,DEF,0.44252190578619166,0.8959944316902554,239,9.613266799763468e-19
GBReg,19,20,MID,0.5980022936506646,0.7801824548807605,319,7.735067866298884e-45
GBReg,19,20,FWD,0.6802978948806484,0.8337722112812321,78,4.640672088551887e-15
GBReg,19,20,ALL,0.5525309395124169,0.9072076612898118,709,1.0412435937935566e-82
GBReg,20,21,GK,0.5907077992265165,0.7200858075627028,73,1.5751837798853884e-10
GBReg,20,21,DEF,0.5613990299622766,0.7334484585058665,240,2.831127748497318e-29
GBReg,20,21,MID,0.611617101414988,0.8538122134846153,320,1.4971748561423413e-47
GBReg,20,21,FWD,0.5270868285631682,0.83664841548733,78,2.5415132813637776e-09
GBReg,20,21,ALL,0.5869580585096957,0.8708116281979684,711,1.0879299975769341e-93
GBReg,21,22,GK,0.5520865593965546,0.6808028318442882,75,1.5421124001578522e-09
GBReg,21,22,DEF,0.47148429538678643,0.8598930583709488,246,1.4746426542825487e-21
GBReg,21,22,MID,0.5682897213171144,0.7084288275995333,323,2.1038308871281822e-41
GBReg,21,22,FWD,0.6332313316440138,0.7564757937328471,80,1.3515391301931698e-13
GBReg,21,22,ALL,0.546922704071229,0.8665767087351517,724,5.099046700871178e-83
GBReg,22,23,GK,0.5486454727145571,0.7035024150879385,76,1.3633934507573166e-09
GBReg,22,23,DEF,0.5387424872819645,0.8271160127461292,247,3.181312470462179e-28
GBReg,22,23,MID,0.5607328600506799,0.853749748689347,326,2.6458262119290624e-40
GBReg,22,23,FWD,0.695614086554923,0.9003259710981358,80,8.799465686945399e-16
GBReg,22,23,ALL,0.5711404377484054,0.8891771165904397,729,9.91348722614649e-91
GBReg,23,24,GK,0.43484299440668756,0.7956151534910287,77,1.2392277547532423e-06
GBReg,23,24,DEF,0.45926311598897357,0.8847839142779539,250,4.212597867540376e-21
GBReg,23,24,MID,0.5634202790213358,0.8139995957794959,328,3.399545312801282e-41
GBReg,23,24,FWD,0.5778069844229516,0.7063048697354162,81,1.7923552822297875e-11
GBReg,23,24,ALL,0.5223844311915502,0.9207585302164392,736,2.656322265172667e-77
GBReg,24,25,GK,0.5511768104958935,0.749415032146806,86,9.36306166486986e-11
GBReg,24,25,DEF,0.5263740566690218,0.8868572566079858,273,2.3429857157592257e-29
GBReg,24,25,MID,0.5788390924082675,0.7642683882007263,359,1.9334927306495342e-47
GBReg,24,25,FWD,0.5142380673995243,0.7253316966753054,91,3.4685526173292173e-10
GBReg,24,25,ALL,0.5573645571685106,0.8907139982513794,809,8.37944271282319e-96
GBReg,25,26,GK,0.5486053454683737,0.7137357544357873,90,4.467355297777114e-11
GBReg,25,26,DEF,0.4660156856954288,0.8588441861803214,284,2.7581760562019362e-24
GBReg,25,26,MID,0.5973330093373403,0.9085128254673455,375,7.091292596674886e-53
GBReg,25,26,FWD,0.5824371591682799,0.7567325629214398,87,4.245732972808093e-12
GBReg,25,26,ALL,0.5535005764913412,0.9160242525999187,836,1.0440510441020699e-97
