prediction_gw,target_gw,algorithm,formation,predicted_points,actual_points,actual_points_no_captaincy,avg_fpl_points,captain,captain_points,prediction_diff,prediction_diff_pct,prediction_accuracy,avg_player_diff,std_player_diff,points_vs_avg,pct_vs_avg
7,8,LSTM,3-4-3,76.38707971572876,52,50,36,Cole Palmer,4,26.38707971572876,-34.54390430152212,47.22584056854247,-2.3988254287026147,6.898736675243278,16,44.44444444444444
7,8,RFReg,3-4-3,51.03111320712529,47,45,36,Cole Palmer,4,6.031113207125287,-11.818502141323428,86.59752620638825,-0.5482830188295715,4.155194250330982,11,30.555555555555557
7,8,RFReg,3-4-3,51.03111320712529,47,45,36,Cole Palmer,4,6.031113207125287,-11.818502141323428,86.59752620638825,-0.5482830188295715,4.155194250330982,11,30.555555555555557
7,8,Ridge,3-5-2,52.098933722950555,51,49,36,Cole Palmer,4,3.098933722950555,-5.948171107358801,93.67564546336622,-0.2817212475409596,4.390004556939457,15,41.66666666666667
7,8,Ridge,3-5-2,52.098933722950555,51,49,36,Cole Palmer,4,3.098933722950555,-5.948171107358801,93.67564546336622,-0.2817212475409596,4.390004556939457,15,41.66666666666667
7,8,XGBoost,4-4-2,53.13680601119995,54,42,36,Mohamed Salah,24,11.136806011199951,-20.958741872540443,73.4837952114287,-1.0124369101090864,3.8324248455639642,18,50.0
7,8,XGBoost,4-4-2,53.13680601119995,54,42,36,Mohamed Salah,24,11.136806011199951,-20.958741872540443,73.4837952114287,-1.0124369101090864,3.8324248455639642,18,50.0
8,9,DeepLearning,3-4-3,44.95932674407959,81,71,54,Cole Palmer,20,-26.04067325592041,57.92051425536424,63.322995414196605,2.367333932356401,4.488436558320804,27,50.0
8,9,DeepLearning,3-4-3,44.95932674407959,81,71,54,Cole Palmer,20,-26.04067325592041,57.92051425536424,63.322995414196605,2.367333932356401,4.488436558320804,27,50.0
8,9,GBReg,4-4-2,48.304696873221694,61,51,54,Cole Palmer,20,-2.695303126778306,5.579795136386578,94.71509190827783,0.24502755697984646,3.4355756616277033,7,12.962962962962955
8,9,GBReg,4-4-2,48.304696873221694,61,51,54,Cole Palmer,20,-2.695303126778306,5.579795136386578,94.71509190827783,0.24502755697984646,3.4355756616277033,7,12.962962962962955
8,9,LSTM,3-5-2,76.21862268447876,63,61,54,Bruno Borges Fernandes,4,15.21862268447876,-19.967065985276456,75.05143822216597,-1.3835111531344326,5.7189552025132455,9,16.666666666666675
8,9,LSTM,3-5-2,76.21862268447876,63,61,54,Bruno Borges Fernandes,4,15.21862268447876,-19.967065985276456,75.05143822216597,-1.3835111531344326,5.7189552025132455,9,16.666666666666675
8,9,RFReg,4-4-2,45.56738438487661,70,60,54,Cole Palmer,20,-14.432615615123389,31.673127193829977,75.94564064146103,1.3120559650112171,3.818588337841332,16,29.629629629629626
8,9,RFReg,4-4-2,45.56738438487661,70,60,54,Cole Palmer,20,-14.432615615123389,31.673127193829977,75.94564064146103,1.3120559650112171,3.818588337841332,16,29.629629629629626
8,9,Ridge,4-4-2,49.95012812094569,76,66,54,Mohamed Salah,20,-16.049871879054308,32.131793216210156,75.68201230446317,1.4590792617322095,4.702631657996706,22,40.74074074074075
8,9,Ridge,4-4-2,49.95012812094569,76,66,54,Mohamed Salah,20,-16.049871879054308,32.131793216210156,75.68201230446317,1.4590792617322095,4.702631657996706,22,40.74074074074075
8,9,XGBoost,3-5-2,49.677289962768555,59,49,54,Cole Palmer,20,0.6772899627685547,-1.3633794501997976,98.61777558618662,-0.061571814797141335,3.9483655728566243,5,9.259259259259256
8,9,XGBoost,3-5-2,49.677289962768555,59,49,54,Cole Palmer,20,0.6772899627685547,-1.3633794501997976,98.61777558618662,-0.061571814797141335,3.9483655728566243,5,9.259259259259256
9,10,DeepLearning,4-3-3,44.145983934402466,58,55,39,Cole Palmer,6,-10.854016065597534,24.586644351897945,80.2654253352772,0.9867287332361395,4.71273664548149,19,48.71794871794872
9,10,DeepLearning,4-3-3,44.145983934402466,58,55,39,Cole Palmer,6,-10.854016065597534,24.586644351897945,80.2654253352772,0.9867287332361395,4.71273664548149,19,48.71794871794872
9,10,GBReg,4-4-2,51.035195770848496,41,38,39,Cole Palmer,6,13.035195770848496,-25.541580812930377,65.69685323460922,-1.1850177973498635,2.6457912875295264,2,5.128205128205132
9,10,GBReg,4-4-2,51.035195770848496,41,38,39,Cole Palmer,6,13.035195770848496,-25.541580812930377,65.69685323460922,-1.1850177973498635,2.6457912875295264,2,5.128205128205132
9,10,LSTM,4-3-3,69.26336193084717,47,44,39,Cole Palmer,6,25.263361930847168,-36.47435126823647,42.58326833898371,-2.296669266440652,3.8479468979378892,8,20.512820512820507
9,10,LSTM,4-3-3,69.26336193084717,47,44,39,Cole Palmer,6,25.263361930847168,-36.47435126823647,42.58326833898371,-2.296669266440652,3.8479468979378892,8,20.512820512820507
9,10,RFReg,5-3-2,46.604034270783615,45,42,39,Cole Palmer,6,4.604034270783615,-9.879046616507004,89.0380136409914,-0.4185485700712377,2.548489328447816,6,15.384615384615374
9,10,RFReg,5-3-2,46.604034270783615,45,42,39,Cole Palmer,6,4.604034270783615,-9.879046616507004,89.0380136409914,-0.4185485700712377,2.548489328447816,6,15.384615384615374
9,10,Ridge,3-4-3,49.67309127043358,50,47,39,Cole Palmer,6,2.6730912704335807,-5.38136685691768,94.31257176503493,-0.2430082973121437,2.686672685091457,11,28.205128205128215
9,10,Ridge,3-4-3,49.67309127043358,50,47,39,Cole Palmer,6,2.6730912704335807,-5.38136685691768,94.31257176503493,-0.2430082973121437,2.686672685091457,11,28.205128205128215
9,10,XGBoost,5-3-2,47.46872544288635,39,36,39,Bryan Mbeumo,6,11.468725442886353,-24.160592760564736,68.14242932531569,-1.0426114038987593,2.4366088147173315,0,0.0
9,10,XGBoost,5-3-2,47.46872544288635,39,36,39,Bryan Mbeumo,6,11.468725442886353,-24.160592760564736,68.14242932531569,-1.0426114038987593,2.4366088147173315,0,0.0
10,11,DeepLearning,4-4-2,45.04048466682434,61,59,49,Dominic Solanke-Mitchell,4,-13.95951533317566,30.993261809764405,76.33980452004126,1.2690468484705144,5.551883365944257,12,24.489795918367353
10,11,DeepLearning,4-4-2,45.04048466682434,61,59,49,Dominic Solanke-Mitchell,4,-13.95951533317566,30.993261809764405,76.33980452004126,1.2690468484705144,5.551883365944257,12,24.489795918367353
10,11,GBReg,5-2-3,45.55488598466803,42,40,49,Cole Palmer,4,5.554885984668033,-12.193831385150622,86.11278503832992,-0.504989634969821,3.7186152594094306,-7,-14.28571428571429
10,11,GBReg,5-2-3,45.55488598466803,42,40,49,Cole Palmer,4,5.554885984668033,-12.193831385150622,86.11278503832992,-0.504989634969821,3.7186152594094306,-7,-14.28571428571429
10,11,LSTM,4-3-3,63.76694321632385,73,59,49,Mohamed Salah,28,4.7669432163238525,-7.475571159420968,91.92043522656974,-0.43335847421125934,4.097532077771409,24,48.979591836734706
10,11,LSTM,4-3-3,63.76694321632385,73,59,49,Mohamed Salah,28,4.7669432163238525,-7.475571159420968,91.92043522656974,-0.43335847421125934,4.097532077771409,24,48.979591836734706
10,11,RFReg,4-4-2,46.343260672079275,57,55,49,Cole Palmer,4,-8.656739327920725,18.67960778412858,84.26047394923505,0.7869763025382482,3.826984064335027,8,16.326530612244895
10,11,RFReg,4-4-2,46.343260672079275,57,55,49,Cole Palmer,4,-8.656739327920725,18.67960778412858,84.26047394923505,0.7869763025382482,3.826984064335027,8,16.326530612244895
10,11,Ridge,3-4-3,51.263932579654664,60,46,49,Mohamed Salah,28,5.263932579654664,-10.268296470380001,88.55666830509855,-0.478539325423152,3.924501167780418,11,22.44897959183674
10,11,Ridge,3-4-3,51.263932579654664,60,46,49,Mohamed Salah,28,5.263932579654664,-10.268296470380001,88.55666830509855,-0.478539325423152,3.924501167780418,11,22.44897959183674
10,11,XGBoost,4-4-2,46.46081614494324,50,48,49,Cole Palmer,4,-1.5391838550567627,3.3128644366792637,96.79336696863174,0.13992580500516025,3.981915871563831,1,2.0408163265306145
10,11,XGBoost,4-4-2,46.46081614494324,50,48,49,Cole Palmer,4,-1.5391838550567627,3.3128644366792637,96.79336696863174,0.13992580500516025,3.981915871563831,1,2.0408163265306145
11,12,DeepLearning,5-2-3,44.888713121414185,80,67,49,Mohamed Salah,26,-22.111286878585815,49.25801017903901,66.99807928569281,2.0101169889623467,4.155785208019197,31,63.26530612244898
11,12,DeepLearning,5-2-3,44.888713121414185,80,67,49,Mohamed Salah,26,-22.111286878585815,49.25801017903901,66.99807928569281,2.0101169889623467,4.155785208019197,31,63.26530612244898
11,12,GBReg,5-3-2,49.975046427120404,49,36,49,Mohamed Salah,26,13.975046427120404,-27.964048912891936,61.18042659133221,-1.270458766101855,3.2736314371115323,0,0.0
11,12,GBReg,5-3-2,49.975046427120404,49,36,49,Mohamed Salah,26,13.975046427120404,-27.964048912891936,61.18042659133221,-1.270458766101855,3.2736314371115323,0,0.0
11,12,LSTM,3-5-2,78.03864526748657,70,57,49,Mohamed Salah,26,21.038645267486572,-26.959265112014897,63.09009602195339,-1.912604115226052,4.469999101704373,21,42.85714285714286
11,12,LSTM,3-5-2,78.03864526748657,70,57,49,Mohamed Salah,26,21.038645267486572,-26.959265112014897,63.09009602195339,-1.912604115226052,4.469999101704373,21,42.85714285714286
11,12,RFReg,3-5-2,49.25972737887697,70,57,49,Mohamed Salah,26,-7.740272621123033,15.71318607102592,86.42057434890695,0.7036611473748213,4.916875022352426,21,42.85714285714286
11,12,RFReg,3-5-2,49.25972737887697,70,57,49,Mohamed Salah,26,-7.740272621123033,15.71318607102592,86.42057434890695,0.7036611473748213,4.916875022352426,21,42.85714285714286
11,12,Ridge,3-5-2,51.270743979156066,79,66,49,Mohamed Salah,26,-14.729256020843934,28.728383631086096,77.68294542296374,1.3390232746221764,4.629988504675151,30,61.224489795918366
11,12,Ridge,3-5-2,51.270743979156066,79,66,49,Mohamed Salah,26,-14.729256020843934,28.728383631086096,77.68294542296374,1.3390232746221764,4.629988504675151,30,61.224489795918366
11,12,XGBoost,4-3-3,47.80733370780945,61,48,49,Mohamed Salah,26,-0.19266629219055176,0.4030057257911501,99.59861189126968,0.017515117471868343,4.434289936786624,12,24.489795918367353
